name,base_val
S0YoPoAo,0
S0YoPoAoBoo,0
S0YoPoAoBro,0
S0YoPoAoBrr,0
S0YoPoAr,0
S0YoPoArBoo,0
S0YoPoArBro,0
S0YoPoArBrr,0
S0YoPrAo,0
S0YoPrAoBoo,0
S0YoPrAoBro,0
S0YoPrAoBrr,0
S0YoPrAr,0
S0YoPrArBoo,0
S0YoPrArBro,0
S0YoPrArBrr,0
S0YrPrAo,0
S0YrPrAoBoo,0.25
S0YrPrAoBro,0
S0YrPrAoBrr,0
S0YrPrAr,0
S0YrPrArBoo,0
S0YrPrArBro,0
S0YrPrArBrr,0
S1YoPoAo,0
S1YoPoAoBoo,0
S1YoPoAoBro,0
S1YoPoAoBrr,0
S1YoPoAr,0
S1YoPoArBoo,0
S1YoPoArBro,0
S1YoPoArBrr,0
S1YoPrAo,0
S1YoPrAoBoo,0
S1YoPrAoBro,0
S1YoPrAoBrr,0
S1YoPrAr,0
S1YoPrArBoo,0
S1YoPrArBro,0
S1YoPrArBrr,0
S1YrPrAo,0
S1YrPrAoBoo,0.75
S1YrPrAoBro,0
S1YrPrAoBrr,0
S1YrPrAr,0
S1YrPrArBoo,0
S1YrPrArBro,0
S1YrPrArBrr,0
S2YoPoAo,0
S2YoPoAoBoo,0
S2YoPoAoBro,0
S2YoPoAoBrr,0
S2YoPoAr,0
S2YoPoArBoo,0
S2YoPoArBro,0
S2YoPoArBrr,0
S2YoPrAo,0
S2YoPrAoBoo,0
S2YoPrAoBro,0
S2YoPrAoBrr,0
S2YoPrAr,0
S2YoPrArBoo,0
S2YoPrArBro,0
S2YoPrArBrr,0
S2YrPrAo,0
S2YrPrAoBoo,0
S2YrPrAoBro,0
S2YrPrAoBrr,0
S2YrPrAr,0
S2YrPrArBoo,0
S2YrPrArBro,0
S2YrPrArBrr,0
S3YoPoAo,0
S3YoPoAoBoo,0
S3YoPoAoBro,0
S3YoPoAoBrr,0
S3YoPoAr,0
S3YoPoArBoo,0
S3YoPoArBro,0
S3YoPoArBrr,0
S3YoPrAo,0
S3YoPrAoBoo,0
S3YoPrAoBro,0
S3YoPrAoBrr,0
S3YoPrAr,0
S3YoPrArBoo,0
S3YoPrArBro,0
S3YoPrArBrr,0
S3YrPrAo,0
S3YrPrAoBoo,0
S3YrPrAoBro,0
S3YrPrAoBrr,0
S3YrPrAr,0
S3YrPrArBoo,0
S3YrPrArBro,0
S3YrPrArBrr,0
PQH2,0
PQ,2
Cytfr,0
PCr,0
P700r,0
FXr,0
FDr,0
PCo,7
P700o,0
FXo,0
FDo,20
Cytfo,4
O2,0
Hl,100
Hs,100
ATP,0
ADP,30
NADP,10
NADPH,0
Ha,0
ASYNopenuuu,10
ASYNHauuu,0
ASYNHbcuu,0
ASYNopencuu,0
ASYNHacuu,0
ASYNHbccu,0
ASYNopenccu,0
ASYNHaccu,0
ASYNHbccc,0
ASYNopenccc,0
Hb,0
HbufferS,10
bufferS,10
H2Os,10000
OHs,0.1
HbufferL,10
bufferL,10
H2Ol,10000
OHl,0.1
